movie_id,preprocessed_keywords
35,+alaska+ +love+ +duringcreditsstinger+ +donut+ first+love dysfunctional+marriage +pollution+ +alcohol+ +attic+ father+son+relationship +beer+ +lake+ +ecology+ +live+ +quarantine+ +save+ water+supply +town+ +garbage+ dysfunctional+family +pig+ environmental+protection+agency
38,+love+ +amnesia+ +decide+ +fade+ +bittersweet+ +memory+ +operate+ +brainwashed+ relationship+problems +regret+ +correct+ +watch+ +late+ +heartbreak+ +girlfriend+ nonlinear+timeline +mistake+ love+story +realise+ +jealousy+ deja+vu +erase+ +relationship+ +heartbroken+ +dream+ +procedure+
55,mexico+city +dog+ +fight+ +design+ +terrible+ homeless+person +disappear+ +sinister+ multiple+storylines +crash+ +apartment+ +dramatic+ new+mexican+cinema +ex+ +daughter+ +wake+ +people+ +money+ +dogfight+ nonlinear+timeline +catapult+ +underground+ +young+ +supermodel+ +car+ +punk+ secret+love
58,+captain+ +ship+ +pirate+ +attempt+ +witch+ card+game +jones+ +compass+ +blood+ +debt+ exotic+island fortune+teller +avoid+ +daughter+ +aftercreditsstinger+ +monster+ +swashbuckler+ +bondage+ +eternal+ east+india+trading+company
59,+average+ +diner+ family+relationships +thrust+ +fight+ double+life +distrust+ +violence+ dual+identity +lawyer+ small+town attempted+robbery +murder+ +defense+ +indiana+ mistaken+identity +family+ +commit+ +robbery+ +father+ +mobster+ +marriage+ +seemingly+ +spotlight+
62,+jupiter+ space+station +moon+ human+being +find+ +human+ moon+base +computer+ artificial+intelligence man+vs+machine +surface+ space+travel space+mission +evolution+ +technology+ super+computer +astronaut+ +origin+ +hal+ +super+
63,mental+hospital +unleash+ +populate+ +rogue+ +cole+ +dystopia+ +1990+ +arrest+ +mistakenly+ +son+ +subterranean+ +army+ +force+ +psychiatrist+ +virus+ +response+ +1996+ +group+ +patient+ +dr+ +key+ deadly+virus +lock+ +famous+ +schizophrenia+ +monkey+ time+travel +survivor+ +12+ +killer+ +wipe+ +philadelphia+ lethal+virus +underground+ +hold+ +meet+ stockholm+syndrome +disease+ +thought+ +earth+ +expert+ +origin+ +discover+
64,+journalist+ dying+and+death +deep+ +bullfight+ +pregnancy+ +hospital+ theatre+milieu +suicide+ +odd+ +care+ +rape+ +friendship+ +men+ car+crash +women+ +spain+ sexual+abuse +coma+ +share+
65,+white+ +detroit+ +divide+ +road+ +place+ +individual+ +adolescence+ +hop+ +1995+ +single+ +rapper+ rap+music +fulfil+ trailer+park +smith+ +strength+ +rabbit+ +hip+ street+gang +pal+ +success+ +future+ +lines+ +battle+ ethnic+stereotype +half+ +city+ +town+ +mile+ +young+ +cross+ +choke+ +jimmy+ +dream+ +summon+ +split+
66,secret+service washington+d.c. +rape+ usa+president white+house +force+ +presided+ +assassin+ +convict+ secret+service+agent +evidence+ +base+ +murder+ +daughter+ united+states +rob+ +eye+ +occur+ +master+ +governed+ +star+ +suspense+ +hold+ +thief+ +corrupt+ +david+ political+thriller +house+ +front+
67,middle+east+conflict +suicide+ +deal+ +muslim+ suicide+bomber +perspective+ +prepare+ +attack+ civil+war +palestinian+ +individual+ +paradise+ +palestine+ +unemployed+ +israel+ +friendship+ middle+east +terror+ +perform+ +men+ suicide+mission +subject+
68,+woman+ +dystopia+ anarchic+comedy +case+ wrongful+arrest +hero+ +investigate+ +innocent+ +web+ police+state +led+ +bureaucracy+ +terror+ mistaken+identity great+britain +death+ +caught+ +governed+ +save+ +low+ +dream+ +lie+ +meet+ day+life +daydream+ +day+
69,+farm+ +arkansas+ country+music +fame+ +sun+ loss+of+brother +memphis+ +concert+ +accident+ +record+ +adultery+ +chronicle+ music+record +single+ +jerry+ early+days +guitar+ +rise+ +prison+ +life+ +1960+ +marriage+ +germany+
70,+enter+ +box+ +prepare+ +boxer+ dying+and+death +cohort+ female+protagonist +sport+ stroke+of+fate +daughter+ strong+woman +despondent+ suicide+attempt +trainer+ +advance+ +determine+ +pro+ +life+ +transport+ +maggie+ +train+ +pain+ +convince+
71,+strive+ +face+ +scholarship+ +trial+ +background+ +conquer+ +ring+ +11+ +class+ +toes+ +floor+ +stand+ +billy+ +ballet+ +boy+ +family+ +triumph+ +ways+ +elliot+ +quarter+ +conflict+ +strike+ +england+ +stumble+ +box+
73,+fresh+ +violent+ +rape+ +truck+ +gang+ +jail+ +break+ interracial+friendship +swastika+ +school+ +crime+ +fascism+ +acts+ +thug+ +usa+ +parole+ +xenophobia+ +skinhead+ los+angeles +determine+ +nazism+ +family+ +learn+ +derek+ +commit+ +prison+ +hate+ +neo+ +vineyard+ +reform+ +basketball+ +narrator+ +path+ brother+brother+relationship +brother+ +steal+ +leader+ +kill+
74,new+jersey +husband+ post+traumatic+stress++disorder teenage+son +ray+ +dystopia+ +visit+ +drop+ +rare+ alien+invasion +apocalypse+ human+subjugation +ex+ perfect+father +strange+ young+daughter +weekend+ +airplane+ +wife+ +daughter+
75,star+studded+cast +ambassador+ usa+president white+house +victim+ flying+saucer saving+the+world +cruel+ +weapon+ +play+ +sense+ +fun+ +60+ +humor+ +congress+ science+fiction+film +alien+ total+destruction +peace+ +irresistible+ +arm+ +invade+ +green+ +lasergun+ +homage+ +planet+ +comedy+ +men+ +cataclysm+ +game+ +mars+ +pest+ +50+
76,+bittersweet+ +love+ +american+ +austria+ +boy+ +travel+ +vienna+ +heart+ +french+ +walk+ fairy+tale +sunrise+ +dialogue+ +night+ +romantic+ +girl+ +soulmate+ +day+ +talk+ +collide+
77,+revenge+ +note+ +loss+ +amnesia+ +gritty+ +polaroid+ +flashback+ +short+ +quest+ +term+ +memory+ +place+ memory+loss +grim+ +find+ head+injury +thriller+ +individual+ +pack+ +murder+ +jog+ +people+ insurance+salesman +body+ +motel+ +aid+ +backs+ desperate+bid +wife+ +carry+ +complex+ +knot+ +photo+ +tattoo+ +search+ +waitress+ +remember+ +suffer+ +embark+ +rat+ +plan+
78,bounty+hunter +retire+ +dystopia+ +short+ +quartet+ +cyberpunk+ +seek+ +escape+ artificial+intelligence +genetic+ +span+ +extend+ +terminal+ los+angeles +creator+ +life+ +call+ +earth+ tech+noir +fugitive+
79,+countryside+ +patriot+ +warlord+ +assassin+ +defeat+ right+and+justice +power+ +pre+ loss+of+lover +murder+ +sought+ +china+
80,+vienna+ +author+ years+ago +talk+ +find+ +ends+ +walk+ +met+ +soulmate+ +afternoon+ +chance+ love+of+one's+life +spent+ +sunrise+ +dialogue+ +night+ +journalist+ +bookshop+ +stranger+ +paris+ +meet+ +belong+
81,+epic+ +poison+ +war+ +stronghold+ +power+ +remain+ saving+the+world +valley+ +jungle+ +duringcreditsstinger+ +princess+ giant+insect +restore+ +toxic+ +people+ based+on+manga +wind+ +led+ +ecology+ +future+ +engage+ +insect+ +airplane+ human+vs+nature +bond+ +human+ +guard+ +earth+ +struggle+ +kingdom+ +anime+
82,+feature+ drug+deal based+on+tv+series +vice+ +mix+ +professional+ +danger+ film+tells +miami+ +live+ +base+ +person+ +havana+ +cuba+
83,+panic+ +underneath+ primal+fear +mile+ scuba+diver +left+ +dive+ +boat+ +diver+ +cataclysm+ +red+ +nightmare+ +sea+ +water+ +shark+ +scuba+
85,+white+ +nazi+ +suit+ indiana+jones treasure+hunt +swastika+ saving+the+world +find+ +coven+ +archaeologist+ +dr+ +moses+ +hat+ +locate+ +excavation+ +whip+ +mediterranean+ +entire+ +regime+ +professor+ +egypt+ +himalaya+ +riddle+ +treasure+ +ark+ +governed+ +medallion+ +cairo+ leather+jacket +hire+ ten+commandments
86,+hippy+ +love+ +prostitute+ +disturb+ +controversy+ based+on+novel +focuses+ +christian+ +mother+ male+nudity +chaotic+ +aka+ +find+ +interest+ +experienced+ +childhood+ +base+ +berlin+ free+love +scientist+ +problem+ +youth+ +women+ +tramp+ +cancer+ +half+ +obsess+ +unsociability+ female+nudity +sexual+ sexual+desire +life+ sexual+obsession +club+ male+virgin +gene+ +care+ +affair+ +teacher+ +brother+ nudist+camp
87,+mystic+ +catacombs+ +terrible+ +arrive+ +mine+ +desperate+ +violence+ +palace+ indiana+jones treasure+hunt +agree+ +find+ +archaeologist+ +ancient+ +stone+ +cult+ +eat+ +village+ +skeleton+ +rope+ +torture+ +india+ +drive+ +monkey+ cult+film +child+ +riddle+ +treasure+ +brain+ +secret+ +plot+ +heart+ +asks+ +car+ +bridge+ +stumble+ +split+ +plan+
88,+love+ teenage+crush +accompany+ +resort+ dance+performance unwanted+pregnancy +intern+ +dance+ +hotel+ class+differences dancing+master +france+ +17+ +find+ +daughter+ +fall+ summer+camp +unexpectedly+ +sensual+ +sex+ +youth+ +professional+ sister+sister+relationship +catskills+ +family+ +abort+ +expect+ +doctor+ +robbery+ +step+ +usual+ +shoe+ +surprise+ family+holiday secret+love +babi+ +romance+ +summer+
89,+henry+ +nazi+ +team+ holy+grail +power+ +crusade+ indiana+jones +library+ treasure+hunt saving+the+world order+of+the+templars +recover+ +escape+ +archaeologist+ +dr+ +footsteps+ father+son+relationship +whip+ eternal+life +follow+ +entrapment+ +missed+ +suddenly+ +venice+ +indiana+ +marcus+ +panzer+ +riddle+ +treasure+ +father+ +pursue+ +jones+
90,swimming+pool damsel+in+distress detroit+michigan +complicate+ strip+club country+club +smuggle+ +tough+ +weapon+ +investigate+ +murder+ +gunfight+ +showdown+ maverick+cop buddy+comedy +fish+ car+chase beverly+hills +friend+ bar+fight art+gallery +realize+ los+angeles +beat+ +police+ +warehouse+ +california+ +mansion+ +stumble+ +undercover+ foot+chase
93,+flare+ +lawyer+ +hard+ +town+ +jealousy+ +adultery+ +code+ court+case +jazz+ +rape+ beautiful+wife +small+ +seductive+ +michigan+ +rapist+ +pit+ +murder+ +judge+ +juror+
